estimand,N_valid_blocks,mean,SD,SE,df,t_stat,ci95_low,ci95_high,raw_p,managerial_MDE,managerially_relevant_by_abs_mean,holm_rank,holm_adjusted_p,holm_reject_FWER_0_05,confirmatory_claim_permitted
P1_OVERALL_CLARIFICATION_POST_TRUST_V32,10,0.35396948318673704,0.0645820998794657,0.020422653169559737,9,17.332198723050038,0.307770232035874,0.4001687343376001,3.196913548474989e-08,0.15,True,1,9.590740645424966e-08,True,True
P2_CONTENT_POST_TRUST_V32,10,0.06724365941115425,0.06481529128027658,0.020496394765292497,9,3.2807554782766517,0.02087759318130819,0.1136097256410003,0.009517780419828136,0.15,False,3,0.009517780419828136,True,True
P5_OVERALL_CLARIFICATION_EXPECTED_REPEAT_CHOICE_V32,10,0.01995319726246113,0.004714802090568614,0.0014909513323120298,9,13.382862894337103,0.016580431026687947,0.023325963498234317,3.0254600309164386e-07,0.05,False,2,6.050920061832877e-07,True,True
