2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent_manager:init:49 - AgentManager: Initializing 118 agents...
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
2026-01-09 15:14:01 | INFO     | PID:48456 | agentkernel_standalone.mas.agent.agent:init:99 - Successfully initialized Agent components concurrently.
