exp_id,conversion_support,tick,opportunities,expected_choice_share,realized_choice_share,cumulative_opportunities,cumulative_expected_choice_share,cumulative_realized_choice_share
Rational-Hub-Immediate,absent,1,47,0.5271778799780475,0.5319148936170213,47,0.5271778799780475,0.5319148936170213
Rational-Hub-Immediate,absent,2,67,0.5285524917699606,0.582089552238806,114,0.5279857658557509,0.5614035087719298
Rational-Hub-Immediate,absent,3,63,0.5233352785818742,0.5238095238095238,177,0.5263305076735235,0.5480225988700564
Rational-Hub-Immediate,absent,4,50,0.46887765891000255,0.52,227,0.5136756951705453,0.5418502202643172
Rational-Hub-Immediate,absent,5,55,0.48868364725469565,0.4727272727272727,282,0.5088013595841208,0.5283687943262412
Rational-Hub-Immediate,absent,6,45,0.48299995126068496,0.4888888888888889,327,0.505250707062547,0.5229357798165137
Rational-Hub-Immediate,absent,7,47,0.5245835824752881,0.5531914893617021,374,0.5076802395342016,0.5267379679144385
Rational-Hub-Immediate,absent,8,53,0.519075602241405,0.5471698113207547,427,0.5090946522355642,0.5292740046838408
Rational-Hub-Immediate,absent,9,65,0.48674982574370884,0.47692307692307695,492,0.5061425918250547,0.5223577235772358
Rational-Hub-Immediate,absent,10,48,0.5097801093622011,0.3958333333333333,540,0.5064659267172456,0.5111111111111111
Rational-Hub-Immediate,absent,11,58,0.543113413355091,0.5172413793103449,598,0.5100203652205818,0.5117056856187291
Rational-Hub-Immediate,absent,12,55,0.5228631917196909,0.45454545454545453,653,0.5111020734249477,0.5068912710566615
Rational-Hub-Immediate,absent,13,55,0.49891717051846657,0.4727272727272727,708,0.5101555061087663,0.5042372881355932
Rational-Hub-Immediate,absent,14,45,0.5821620117240645,0.5333333333333333,753,0.5144586837351786,0.5059760956175299
Rational-Hub-Immediate,absent,15,50,0.4921983544040869,0.6,803,0.5130726109250234,0.5118306351183064
Rational-Hub-Immediate,absent,16,57,0.4358651083029721,0.40350877192982454,860,0.5079553694721666,0.5046511627906977
Rational-Hub-Immediate,absent,17,55,0.5630416204271016,0.4727272727272727,915,0.5112665648847582,0.5027322404371585
Rational-Hub-Immediate,absent,18,60,0.5178068606852526,0.4666666666666667,975,0.5116690446263271,0.5005128205128205
Rational-Hub-Immediate,absent,19,50,0.5443843212270069,0.5,1025,0.5132649117775798,0.5004878048780488
Rational-Hub-Immediate,absent,20,51,0.5126639659665315,0.47058823529411764,1076,0.5132364282865357,0.49907063197026025
Rational-Hub-Immediate,absent,21,52,0.4923877895896674,0.40384615384615385,1128,0.5122753208288787,0.4946808510638298
Rational-Hub-Immediate,absent,22,41,0.5277068268825915,0.4634146341463415,1169,0.512816545592097,0.49358426005132594
Rational-Hub-Immediate,absent,23,70,0.5102745376237602,0.5,1239,0.5126729293226995,0.4939467312348668
Rational-Hub-Immediate,absent,24,46,0.5221124740953357,0.5434782608695652,1285,0.5130108429877122,0.49571984435797667
Rational-Hub-Immediate,absent,25,56,0.44619832537651455,0.44642857142857145,1341,0.5102207602239335,0.4936614466815809
Rational-Hub-Immediate,absent,26,58,0.49459746816644246,0.5344827586206896,1399,0.5095730469006065,0.49535382416011436
Rational-Hub-Immediate,absent,27,49,0.5386001168273395,0.3673469387755102,1448,0.5105553165321051,0.4910220994475138
Rational-Hub-Immediate,absent,28,47,0.5060539548196471,0.574468085106383,1495,0.5104138021505094,0.4936454849498328
Rational-Hub-Immediate,absent,29,44,0.5269125547453652,0.5,1539,0.5108855013799919,0.49382716049382713
Rational-Hub-Immediate,absent,30,60,0.48901119513094765,0.4666666666666667,1599,0.5100647018959752,0.49280800500312694
Rational-Hub-Immediate,present,1,47,0.5271778799780475,0.5319148936170213,47,0.5271778799780475,0.5319148936170213
Rational-Hub-Immediate,present,2,67,0.5285524917699606,0.582089552238806,114,0.5279857658557509,0.5614035087719298
Rational-Hub-Immediate,present,3,63,0.5233352785818742,0.5238095238095238,177,0.5263305076735235,0.5480225988700564
Rational-Hub-Immediate,present,4,50,0.46887765891000255,0.52,227,0.5136756951705453,0.5418502202643172
Rational-Hub-Immediate,present,5,55,0.48868364725469565,0.4727272727272727,282,0.5088013595841208,0.5283687943262412
Rational-Hub-Immediate,present,6,45,0.5451662848831446,0.5111111111111111,327,0.5138057071023351,0.5259938837920489
Rational-Hub-Immediate,present,7,47,0.5815923943858784,0.6170212765957447,374,0.5223243549695183,0.5374331550802139
Rational-Hub-Immediate,present,8,53,0.5779947880758604,0.6415094339622641,427,0.5292342682122259,0.550351288056206
Rational-Hub-Immediate,present,9,65,0.5433369835090706,0.5384615384615384,492,0.5310974318185163,0.5487804878048781
Rational-Hub-Immediate,present,10,48,0.5673626078410686,0.4791666666666667,540,0.534321003020521,0.5425925925925926
Rational-Hub-Immediate,present,11,58,0.5970089694583317,0.5689655172413793,598,0.5404011067887367,0.5451505016722408
Rational-Hub-Immediate,present,12,55,0.5808671060888362,0.5454545454545454,653,0.5438094221968615,0.5451761102603369
Rational-Hub-Immediate,present,13,55,0.5613653014180897,0.5272727272727272,708,0.5451732263736517,0.5437853107344632
Rational-Hub-Immediate,present,14,45,0.6410917956874875,0.6,753,0.5509054117908133,0.547144754316069
Rational-Hub-Immediate,present,15,50,0.5509962028959055,0.6,803,0.550911065035215,0.5504358655043586
Rational-Hub-Immediate,present,16,57,0.4937882773813258,0.43859649122807015,860,0.5471250198069921,0.5430232558139535
Rational-Hub-Immediate,present,17,55,0.6193836779672305,0.5818181818181818,915,0.5514684364177169,0.5453551912568306
Rational-Hub-Immediate,present,18,60,0.5774996595506386,0.6,975,0.5530703578412813,0.5487179487179488
Rational-Hub-Immediate,present,19,50,0.6069536821102531,0.6,1025,0.5556988126836703,0.551219512195122
Rational-Hub-Immediate,present,20,51,0.5174341617528088,0.47058823529411764,1076,0.5538851535782112,0.5473977695167286
Rational-Hub-Immediate,present,21,52,0.49557936184956913,0.40384615384615385,1128,0.5511972979311461,0.5407801418439716
Rational-Hub-Immediate,present,22,41,0.5342958936307415,0.4634146341463415,1169,0.5506045198504647,0.5380667236954663
Rational-Hub-Immediate,present,23,70,0.5132150793714175,0.5142857142857142,1239,0.5484921220832869,0.536723163841808
Rational-Hub-Immediate,present,24,46,0.5246984806091998,0.5434782608695652,1285,0.5476403652678722,0.5369649805447471
Rational-Hub-Immediate,present,25,56,0.4519466982177999,0.44642857142857145,1341,0.54364420914945,0.5331841909023117
Rational-Hub-Immediate,present,26,58,0.49884078340144805,0.5344827586206896,1399,0.5417867404622562,0.5332380271622588
Rational-Hub-Immediate,present,27,49,0.5428606836924941,0.3673469387755102,1448,0.5418230824638319,0.5276243093922652
Rational-Hub-Immediate,present,28,47,0.5080361196656744,0.574468085106383,1495,0.5407608836333883,0.5290969899665552
Rational-Hub-Immediate,present,29,44,0.529887026877848,0.5227272727272727,1539,0.5404500001394026,0.5289148797920727
Rational-Hub-Immediate,present,30,60,0.49572350868271303,0.48333333333333334,1599,0.5387717077770503,0.5272045028142589
Rational-Hub-Delayed,absent,1,47,0.5271778799780475,0.5319148936170213,47,0.5271778799780475,0.5319148936170213
Rational-Hub-Delayed,absent,2,67,0.5285524917699606,0.582089552238806,114,0.5279857658557509,0.5614035087719298
Rational-Hub-Delayed,absent,3,63,0.5233352785818742,0.5238095238095238,177,0.5263305076735235,0.5480225988700564
Rational-Hub-Delayed,absent,4,50,0.46887765891000255,0.52,227,0.5136756951705453,0.5418502202643172
