exp_id,conversion_support,post_crisis_opportunities,expected_choice_share,realized_choice_share,expected_choices_per_1000,realized_choices_per_1000
Rational-Hub-Immediate,absent,1372,0.5094672562157074,0.4846938775510204,509.4672562157075,484.6938775510204
Rational-Hub-Immediate,present,1372,0.5429238906208379,0.5247813411078717,542.9238906208378,524.7813411078718
Rational-Hub-Delayed,absent,1372,0.4914254877963124,0.467201166180758,491.4254877963124,467.20116618075804
Rational-Hub-Delayed,present,1372,0.5248209726117128,0.5029154518950437,524.8209726117127,502.91545189504376
Rational-Random-Immediate,absent,1372,0.47656494717621384,0.45481049562682213,476.5649471762139,454.81049562682216
Rational-Random-Immediate,present,1372,0.5096628390382181,0.4905247813411079,509.6628390382181,490.5247813411079
Rational-Random-Delayed,absent,1372,0.47214539002365824,0.45043731778425655,472.1453900236582,450.43731778425655
Rational-Random-Delayed,present,1372,0.5053772221127935,0.48542274052478135,505.37722211279345,485.4227405247813
Empathy-Hub-Immediate,absent,1372,0.5083742525920365,0.4846938775510204,508.37425259203656,484.6938775510204
Empathy-Hub-Immediate,present,1372,0.5417702061959123,0.5255102040816326,541.7702061959124,525.5102040816327
Empathy-Hub-Delayed,absent,1372,0.4884580142951227,0.46574344023323616,488.4580142951227,465.74344023323613
Empathy-Hub-Delayed,present,1372,0.5218664596667121,0.5,521.866459666712,500.0
Empathy-Random-Immediate,absent,1372,0.4759926506708032,0.45408163265306123,475.9926506708032,454.0816326530612
Empathy-Random-Immediate,present,1372,0.5090966683236664,0.4897959183673469,509.0966683236664,489.7959183673469
Empathy-Random-Delayed,absent,1372,0.4709915029183087,0.4489795918367347,470.9915029183087,448.9795918367347
Empathy-Random-Delayed,present,1372,0.5042726655466158,0.48323615160349853,504.27266554661577,483.23615160349857
NoClarification-Control,absent,1372,0.462282250298737,0.44533527696793,462.282250298737,445.33527696793004
NoClarification-Control,present,1372,0.49552755335502485,0.4752186588921283,495.5275533550248,475.2186588921283
